City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Anadyr,64.75,177.4833,8.6,78,75,17.9,RU,2021-04-01 11:01:29
1,Georgetown,5.4112,100.3354,89.6,66,20,8.05,MY,2021-04-01 10:59:28
2,Tuktoyaktuk,69.4541,-133.0374,-22.07,90,60,11.23,CA,2021-04-01 11:01:29
3,Fortuna,40.5982,-124.1573,46.4,71,1,9.22,US,2021-04-01 11:01:30
4,Catuday,16.2923,119.8062,81.84,75,7,10.36,PH,2021-04-01 10:58:28
5,Puerto Escondido,15.85,-97.0667,78.96,53,6,4.07,MX,2021-04-01 11:01:30
6,Atuona,-9.8,-139.0333,80.02,79,100,11.39,PF,2021-04-01 10:58:28
7,Busselton,-33.65,115.3333,72.0,68,100,8.12,AU,2021-04-01 11:01:30
8,Dikson,73.5069,80.5464,-3.01,68,100,11.81,RU,2021-04-01 10:55:41
9,Mataura,-46.1927,168.8643,55.0,83,100,5.01,NZ,2021-04-01 11:01:31
10,Ushuaia,-54.8,-68.3,39.2,93,0,3.44,AR,2021-04-01 10:54:19
11,Vilhena,-12.7406,-60.1458,68.38,97,100,0.78,BR,2021-04-01 10:55:43
12,Albany,42.6001,-73.9662,39.0,73,100,1.01,US,2021-04-01 10:55:06
13,Qaqortoq,60.7167,-46.0333,32.0,80,75,2.3,GL,2021-04-01 10:55:44
14,Salalah,17.0151,54.0924,91.4,46,0,12.66,OM,2021-04-01 10:55:44
15,Kudahuvadhoo,2.6708,72.8944,84.02,74,46,17.11,MV,2021-04-01 10:55:45
16,Ancud,-41.8697,-73.8203,54.0,100,90,3.44,CL,2021-04-01 10:55:46
17,Naze,28.3667,129.4833,68.0,94,75,21.85,JP,2021-04-01 10:55:46
18,Hermanus,-34.4187,19.2345,71.01,55,81,1.99,ZA,2021-04-01 10:54:10
19,Zeya,53.75,127.2667,26.38,92,86,3.65,RU,2021-04-01 10:55:47
20,Camopi,3.1655,-52.3158,73.69,93,98,2.98,GF,2021-04-01 10:55:47
21,Ixtapa,20.7,-105.2,64.99,67,31,2.73,MX,2021-04-01 10:55:48
22,Peniche,39.3558,-9.3811,64.99,80,47,8.01,PT,2021-04-01 10:55:48
23,Bluff,-46.6,168.3333,55.0,83,100,5.99,NZ,2021-04-01 10:55:49
24,Esperance,-33.8667,121.9,68.0,83,4,10.36,AU,2021-04-01 10:55:49
25,Iqaluit,63.7506,-68.5145,-16.01,69,75,31.07,CA,2021-04-01 10:55:50
26,Butaritari,3.0707,172.7902,82.08,79,30,16.73,KI,2021-04-01 10:55:50
27,Taltal,-25.4,-70.4833,60.31,84,19,2.06,CL,2021-04-01 10:55:50
28,Khatanga,71.9667,102.5,-20.43,96,12,3.69,RU,2021-04-01 10:55:51
29,Mar Del Plata,-38.0023,-57.5575,66.0,77,75,7.76,AR,2021-04-01 10:55:15
30,Ribeira Grande,38.5167,-28.7,60.8,82,40,17.27,PT,2021-04-01 10:55:51
31,Saskylakh,71.9167,114.0833,-26.66,99,82,5.75,RU,2021-04-01 10:55:52
32,Ardino,41.5833,25.1333,59.0,31,47,3.44,BG,2021-04-01 10:55:52
33,Thunder Bay,48.4001,-89.3168,10.4,85,1,3.44,CA,2021-04-01 10:55:52
34,Sibolga,1.7427,98.7792,82.54,75,89,7.07,ID,2021-04-01 10:55:53
35,Oranjemund,-28.55,16.4333,68.18,70,19,17.87,NA,2021-04-01 10:55:53
36,Labuhan,-6.8844,112.2051,81.27,80,60,11.32,ID,2021-04-01 10:55:53
37,Damavand,35.7178,52.065,64.4,22,75,9.22,IR,2021-04-01 10:55:54
38,Kameshkovo,56.3481,41.0047,35.76,99,100,3.42,RU,2021-04-01 10:55:54
39,Rikitea,-23.1203,-134.9692,77.74,78,100,15.26,PF,2021-04-01 10:55:55
40,Gornopravdinsk,60.05,69.9,32.41,97,100,10.27,RU,2021-04-01 10:55:55
41,Carnarvon,-24.8667,113.6333,84.2,74,2,12.66,AU,2021-04-01 10:55:55
42,Galle,6.0367,80.217,84.54,71,22,12.12,LK,2021-04-01 10:55:56
43,Arraial Do Cabo,-22.9661,-42.0278,75.2,78,0,17.27,BR,2021-04-01 10:51:21
44,Oil City,41.4339,-79.7064,30.99,93,90,9.22,US,2021-04-01 10:55:56
45,Binga,-17.6203,27.3414,80.6,54,63,8.3,ZW,2021-04-01 10:55:57
46,Tuatapere,-46.1333,167.6833,55.0,83,100,5.99,NZ,2021-04-01 10:55:57
47,Ibra,22.6906,58.5334,100.81,7,8,10.74,OM,2021-04-01 10:55:57
48,Seydi,39.4816,62.9137,56.66,15,3,15.05,TM,2021-04-01 10:55:57
49,Lorengau,-2.0226,147.2712,82.9,72,99,5.3,PG,2021-04-01 10:55:58
50,Chara,56.9064,118.2631,13.8,77,20,2.59,RU,2021-04-01 10:55:58
51,Luohe,33.5717,114.0353,49.03,91,100,9.64,CN,2021-04-01 10:55:58
52,Batagay,67.6333,134.6333,13.51,96,100,2.44,RU,2021-04-01 10:55:59
53,Areosa,41.7178,-8.8571,66.2,63,40,11.5,PT,2021-04-01 10:55:59
54,Talnakh,69.4865,88.3972,-5.22,83,1,5.37,RU,2021-04-01 10:55:59
55,Weihai,37.5017,122.1136,50.11,64,55,7.31,CN,2021-04-01 10:56:00
56,Itarema,-2.9248,-39.9167,79.5,85,88,10.51,BR,2021-04-01 10:56:00
57,Voh,-20.9667,164.7,72.9,86,100,5.97,NC,2021-04-01 10:56:01
58,Aswan,24.0934,32.907,80.13,14,0,10.25,EG,2021-04-01 10:54:29
59,Vaini,-21.2,-175.2,78.8,94,75,6.91,TO,2021-04-01 10:56:01
60,Cabo San Lucas,22.8909,-109.9124,71.69,46,100,10.85,MX,2021-04-01 10:56:01
61,Castro,-24.7911,-50.0119,54.88,74,12,1.59,BR,2021-04-01 10:56:02
62,Port Alfred,-33.5906,26.891,71.31,65,97,13.65,ZA,2021-04-01 10:54:10
63,Valparaiso,-33.0393,-71.6273,55.4,94,90,5.73,CL,2021-04-01 10:56:02
64,Provideniya,64.3833,-173.3,0.16,89,86,1.79,RU,2021-04-01 10:56:02
65,Tasiilaq,65.6145,-37.6368,26.6,59,20,9.22,GL,2021-04-01 10:56:03
66,Ahipara,-35.1667,173.1667,60.73,90,43,8.59,NZ,2021-04-01 10:56:03
67,Sri Aman,1.2376,111.4621,84.2,79,20,1.14,MY,2021-04-01 10:56:03
68,Hithadhoo,-0.6,73.0833,83.97,77,65,18.34,MV,2021-04-01 10:56:04
69,Mayo,38.8876,-76.5119,42.8,87,90,6.91,US,2021-04-01 10:56:04
70,Bairiki,1.3292,172.9752,82.4,78,20,12.66,KI,2021-04-01 10:56:04
71,Port Hardy,50.6996,-127.4199,42.8,75,90,5.75,CA,2021-04-01 10:56:05
72,Aksarka,66.5606,67.7975,27.41,97,100,9.37,RU,2021-04-01 10:56:05
73,Hobart,-42.8794,147.3294,61.0,77,90,13.8,AU,2021-04-01 10:55:05
74,Ossora,59.2353,163.0719,29.14,97,100,6.82,RU,2021-04-01 10:56:05
75,Bukene,-4.2333,32.8833,80.31,53,28,7.07,TZ,2021-04-01 10:56:06
76,Nikolskoye,59.7035,30.7861,46.4,53,20,15.66,RU,2021-04-01 10:56:06
77,Pochutla,15.7432,-96.4661,73.99,73,4,3.42,MX,2021-04-01 10:56:06
78,Hilo,19.7297,-155.09,66.99,84,90,8.05,US,2021-04-01 10:56:07
79,East London,-33.0153,27.9116,68.0,64,0,16.11,ZA,2021-04-01 10:56:07
80,Inhambane,-23.865,35.3833,86.0,48,20,13.8,MZ,2021-04-01 10:51:13
81,Jamestown,42.097,-79.2353,30.0,93,90,14.97,US,2021-04-01 10:53:55
82,Victoria,22.2855,114.1577,82.0,82,10,8.88,HK,2021-04-01 10:52:18
83,Goure,13.9835,10.2704,87.01,8,8,10.0,NE,2021-04-01 10:56:08
84,Skelleftea,64.7507,20.9528,44.01,56,40,18.41,SE,2021-04-01 10:56:08
85,Tiksi,71.6872,128.8694,-7.22,99,100,8.95,RU,2021-04-01 10:56:09
86,Yar-Sale,66.8333,70.8333,21.04,95,100,16.24,RU,2021-04-01 10:56:09
87,Punta Arenas,-53.15,-70.9167,39.2,100,40,2.3,CL,2021-04-01 10:56:09
88,Yellowknife,62.456,-114.3525,8.6,85,90,17.27,CA,2021-04-01 10:56:03
89,Kaitong,44.8135,123.15,55.67,30,100,8.3,CN,2021-04-01 10:56:10
90,Port Elizabeth,-33.918,25.5701,71.6,60,0,13.8,ZA,2021-04-01 10:56:10
91,Kibre Mengist,5.8833,38.9833,80.1,33,60,8.1,ET,2021-04-01 10:54:29
92,Port Hedland,-20.3167,118.5667,86.0,58,0,6.91,AU,2021-04-01 10:56:10
93,Aykhal,66.0,111.5,-11.47,97,100,11.7,RU,2021-04-01 10:56:11
94,Totana,37.7688,-1.5023,70.0,45,0,3.44,ES,2021-04-01 10:56:11
95,Sassandra,4.95,-6.0833,85.66,64,16,6.24,CI,2021-04-01 10:56:11
96,Murgab,37.4966,61.9714,66.2,27,0,11.5,TM,2021-04-01 10:56:12
97,Puerto Ayora,-0.7393,-90.3518,72.0,95,58,3.67,EC,2021-04-01 10:56:12
98,Chumikan,54.7183,135.315,29.68,87,90,10.6,RU,2021-04-01 10:56:12
99,Noormarkku,61.5927,21.8685,41.0,65,0,12.66,FI,2021-04-01 10:56:13
100,Souillac,-20.5167,57.5167,84.2,74,75,11.5,MU,2021-04-01 10:56:13
101,Zheleznodorozhnyy,55.7503,38.0042,48.2,81,90,8.95,RU,2021-04-01 10:55:21
102,Phan Thiet,10.9333,108.1,80.19,74,64,6.08,VN,2021-04-01 10:55:41
103,Pires Do Rio,-17.2997,-48.2794,70.12,74,0,1.68,BR,2021-04-01 10:56:13
104,Faya,18.3851,42.4509,82.4,17,0,6.91,SA,2021-04-01 10:56:14
105,Kalmunai,7.4167,81.8167,85.21,74,55,11.3,LK,2021-04-01 10:56:14
106,Wabana,47.6332,-52.9481,33.01,69,75,2.3,CA,2021-04-01 10:56:14
107,Mandera,3.9366,41.867,97.83,28,87,5.66,KE,2021-04-01 10:56:15
108,Pevek,69.7008,170.3133,-5.55,92,100,1.19,RU,2021-04-01 10:56:15
109,Saint George,37.1041,-113.5841,46.4,21,1,3.44,US,2021-04-01 10:56:15
110,Kattivakkam,13.2167,80.3167,95.0,59,7,11.5,IN,2021-04-01 10:56:16
111,Cascais,38.6979,-9.4215,63.0,88,75,11.5,PT,2021-04-01 10:56:16
112,Faanui,-16.4833,-151.75,81.9,71,98,3.38,PF,2021-04-01 10:56:16
113,Lagoa,39.05,-27.9833,58.42,78,19,18.92,PT,2021-04-01 10:56:17
114,Middlebury,44.0153,-73.1673,36.0,100,90,3.44,US,2021-04-01 10:56:17
115,Tulun,54.5611,100.5792,26.4,83,98,2.82,RU,2021-04-01 10:56:17
116,New Norfolk,-42.7826,147.0587,62.01,56,100,3.0,AU,2021-04-01 10:56:17
117,Barrow,71.2906,-156.7887,-9.4,64,1,12.66,US,2021-04-01 10:56:18
118,Makakilo City,21.3469,-158.0858,73.4,78,75,4.61,US,2021-04-01 10:56:18
119,Ponta Delgada,37.7333,-25.6667,60.8,77,20,8.05,PT,2021-04-01 10:55:46
120,Sao Joao Da Barra,-21.6403,-41.0511,71.6,94,0,4.61,BR,2021-04-01 10:56:19
121,Dawlatabad,36.4141,64.9053,61.2,28,48,13.0,AF,2021-04-01 10:56:19
122,Kavaratti,10.5669,72.642,83.86,66,53,12.03,IN,2021-04-01 10:56:19
123,Shache,38.4167,77.2406,59.09,26,72,11.72,CN,2021-04-01 10:56:19
124,Nong Ki,14.6868,102.538,93.0,74,40,6.91,TH,2021-04-01 10:56:20
125,Monrovia,6.3005,-10.7969,87.8,70,40,3.44,LR,2021-04-01 10:56:01
126,Pacific Grove,36.6177,-121.9166,57.99,47,1,4.61,US,2021-04-01 10:56:20
127,Emporia,38.4039,-96.1817,28.4,74,1,4.61,US,2021-04-01 10:56:20
128,Hobyo,5.3505,48.5268,85.6,59,94,13.4,SO,2021-04-01 10:56:21
129,Bambous Virieux,-20.3428,57.7575,84.99,74,75,11.5,MU,2021-04-01 10:56:21
130,Daru,-9.0763,143.2092,77.65,91,100,5.82,PG,2021-04-01 10:56:21
131,Avarua,-21.2078,-159.775,77.0,78,3,3.44,CK,2021-04-01 10:56:22
132,Rabo De Peixe,37.8,-25.5833,60.8,77,20,8.05,PT,2021-04-01 10:56:22
133,Qaanaaq,77.484,-69.3632,-2.33,71,100,6.96,GL,2021-04-01 10:56:22
134,Norman Wells,65.282,-126.8329,8.6,85,90,2.3,CA,2021-04-01 10:56:23
135,Whitehorse,60.7161,-135.0538,23.0,74,40,16.11,CA,2021-04-01 10:56:23
136,Mujiayingzi,42.1167,118.7833,55.89,33,100,3.53,CN,2021-04-01 10:56:23
137,Tura,25.5198,90.2201,92.35,14,0,8.1,IN,2021-04-01 10:56:24
138,Norfolk,42.1668,-71.2495,57.2,94,90,4.61,US,2021-04-01 10:52:25
139,Marathon,44.9,-89.7668,19.4,63,1,4.61,US,2021-04-01 10:53:10
140,Almaznyy,48.0448,40.045,59.0,38,0,22.37,RU,2021-04-01 10:56:24
141,Ginda,30.6945,78.4932,87.8,14,0,10.36,IN,2021-04-01 10:56:24
142,Howell,42.6073,-83.9294,25.0,68,90,9.22,US,2021-04-01 10:56:25
143,Torbay,47.6666,-52.7314,33.01,74,20,10.36,CA,2021-04-01 10:56:25
144,Dingle,10.9995,122.6711,78.53,76,52,7.65,PH,2021-04-01 10:56:25
145,Marsa Matruh,31.3525,27.2453,59.0,72,40,21.85,EG,2021-04-01 10:56:26
146,Sao Luiz Gonzaga,-28.4083,-54.9608,58.21,88,1,7.2,BR,2021-04-01 10:56:26
147,Los Llanos De Aridane,28.6585,-17.9182,69.8,64,20,13.8,ES,2021-04-01 10:56:26
148,Haines Junction,60.7522,-137.5108,17.6,79,100,2.3,CA,2021-04-01 10:56:27
149,Kodiak,57.79,-152.4072,26.6,46,1,19.57,US,2021-04-01 10:56:27
150,Avera,33.194,-82.5271,44.6,70,1,12.66,US,2021-04-01 10:56:27
151,Husavik,66.0449,-17.3389,44.6,57,75,6.91,IS,2021-04-01 10:56:28
152,Russkaya Polyana,49.417,31.9201,52.86,63,100,9.4,UA,2021-04-01 10:56:28
153,Quatre Cocos,-20.2078,57.7625,84.99,74,75,11.5,MU,2021-04-01 10:56:28
154,Kathmandu,27.7167,85.3167,71.6,49,75,16.11,NP,2021-04-01 10:52:24
155,Mahebourg,-20.4081,57.7,84.2,74,75,11.5,MU,2021-04-01 10:56:29
156,Luderitz,-26.6481,15.1594,79.43,51,0,13.4,NA,2021-04-01 10:53:25
157,Michigan City,41.7075,-86.895,28.99,64,90,18.41,US,2021-04-01 10:56:29
158,Hami,42.8,93.45,56.75,16,1,4.16,CN,2021-04-01 10:56:29
159,Pindiga,9.9833,10.9333,89.6,22,100,20.71,NG,2021-04-01 10:56:30
160,Santa Cruz,-17.8,-63.1667,71.6,78,90,13.8,BO,2021-04-01 10:56:30
161,Mareeba,-17.0,145.4333,77.0,73,75,13.8,AU,2021-04-01 10:56:30
162,Catamarca,-28.4696,-65.7852,66.99,82,16,3.0,AR,2021-04-01 10:56:31
163,Olinda,-8.0089,-34.8553,82.4,65,40,8.05,BR,2021-04-01 10:55:26
164,Saldanha,-33.0117,17.9442,73.4,46,14,12.66,ZA,2021-04-01 10:56:31
165,Cayenne,4.9333,-52.3333,80.01,83,75,5.75,GF,2021-04-01 10:56:31
166,Port Charlotte,26.9762,-82.0906,71.01,100,75,3.44,US,2021-04-01 10:56:32
167,Southbridge,42.0751,-72.0334,44.01,99,100,14.7,US,2021-04-01 10:56:32
168,Sisimiut,66.9395,-53.6735,29.01,75,100,24.2,GL,2021-04-01 10:56:32
169,Hualmay,-11.0964,-77.6139,67.42,91,47,5.7,PE,2021-04-01 10:56:33
170,Walvis Bay,-22.9575,14.5053,87.8,37,16,8.05,NA,2021-04-01 10:56:33
171,Caravelas,-17.7125,-39.2481,78.84,86,30,1.54,BR,2021-04-01 10:56:33
172,Nanakuli,21.3906,-158.1547,73.0,78,75,4.61,US,2021-04-01 10:56:34
173,Nizhneivkino,58.194,49.5214,36.34,92,100,8.3,RU,2021-04-01 10:56:34
174,Qandala,11.472,49.8728,85.89,43,6,5.1,SO,2021-04-01 10:56:34
175,Havelock,34.8791,-76.9013,64.4,100,90,9.22,US,2021-04-01 10:56:34
176,Fort Nelson,58.8053,-122.7002,35.6,44,75,4.61,CA,2021-04-01 10:54:52
177,Kruisfontein,-34.0033,24.7314,70.0,62,98,8.99,ZA,2021-04-01 10:56:35
178,Nanortalik,60.1432,-45.2371,34.72,94,87,9.82,GL,2021-04-01 10:56:35
179,Lebu,-37.6167,-73.65,55.08,89,94,12.55,CL,2021-04-01 10:56:36
180,Flinders,-34.5833,150.8552,63.0,100,4,4.61,AU,2021-04-01 10:56:36
181,Itainopolis,-7.4469,-41.4783,75.9,81,95,4.99,BR,2021-04-01 10:56:36
182,Calama,-22.4667,-68.9333,44.6,45,0,18.41,CL,2021-04-01 10:52:28
183,Acapulco,16.8634,-99.8901,77.47,50,9,4.83,MX,2021-04-01 10:56:37
184,Qasigiannguit,68.8193,-51.1922,28.4,59,75,24.16,GL,2021-04-01 10:56:37
185,Byron Bay,-28.65,153.6167,71.6,78,75,10.36,AU,2021-04-01 10:55:07
186,Christchurch,-43.5333,172.6333,54.0,82,99,8.05,NZ,2021-04-01 10:56:37
187,San Cristobal,7.7669,-72.225,66.99,79,99,2.55,VE,2021-04-01 10:56:38
188,Colombo,6.9319,79.8478,87.8,74,40,13.8,LK,2021-04-01 10:54:50
189,Port Blair,11.6667,92.75,78.26,75,100,3.62,IN,2021-04-01 10:56:38
190,Santa Rosa,14.3122,121.1114,87.8,58,20,11.5,PH,2021-04-01 10:56:38
191,Roma,43.2128,-75.4557,33.8,86,90,6.91,US,2021-04-01 10:51:57
192,Mnogovershinnyy,53.9353,139.9242,24.57,92,87,2.48,RU,2021-04-01 10:56:39
193,Mattru,7.6244,-11.8332,92.55,48,27,2.08,SL,2021-04-01 10:56:39
194,Kargat,55.1956,80.2811,25.95,88,41,13.15,RU,2021-04-01 10:56:39
195,Fare,-16.7,-151.0167,81.7,71,66,3.22,PF,2021-04-01 10:56:40
196,Porto Santo,33.072,-16.3415,64.4,77,20,14.97,PT,2021-04-01 10:56:40
197,Coahuayana,18.7333,-103.6833,70.57,44,9,2.93,MX,2021-04-01 10:56:40
198,Comodoro Rivadavia,-45.8667,-67.5,51.8,100,75,1.14,AR,2021-04-01 10:54:30
199,Pedernales,18.0384,-71.744,75.69,62,0,4.32,DO,2021-04-01 10:56:41
200,Chlorakas,34.8042,32.4083,57.2,67,75,8.05,CY,2021-04-01 10:56:41
201,Callaway,30.153,-85.5699,51.01,54,50,8.01,US,2021-04-01 10:56:41
202,Burns Lake,54.2331,-125.7533,32.0,74,100,1.14,CA,2021-04-01 10:56:42
203,Aberdeen,57.1437,-2.0981,46.0,61,90,6.91,GB,2021-04-01 10:51:59
204,Kavieng,-2.5744,150.7967,82.6,75,73,6.22,PG,2021-04-01 10:56:42
205,Kapaa,22.0752,-159.319,73.4,88,40,14.97,US,2021-04-01 10:56:42
206,Dunedin,-45.8742,170.5036,57.99,58,100,3.0,NZ,2021-04-01 10:56:43
207,Vestmannaeyjar,63.4427,-20.2734,41.0,81,90,19.57,IS,2021-04-01 10:56:43
208,Antofagasta,-23.65,-70.4,60.8,72,90,2.3,CL,2021-04-01 10:56:43
209,Wad Rawah,15.1603,33.1397,96.75,7,41,13.02,SD,2021-04-01 10:56:44
210,Warwick,41.7001,-71.4162,55.99,100,90,6.91,US,2021-04-01 10:56:12
211,Venado Tuerto,-33.7456,-61.9688,54.0,99,0,4.0,AR,2021-04-01 10:56:44
212,Tsabong,-26.0217,22.401,86.29,25,30,13.71,BW,2021-04-01 10:56:44
213,Katsuura,35.1333,140.3,60.01,73,95,1.99,JP,2021-04-01 10:56:45
214,Vanimo,-2.6741,141.3028,79.92,81,76,3.89,PG,2021-04-01 10:56:45
215,Nouakchott,18.0858,-15.9785,80.6,29,96,16.11,MR,2021-04-01 10:56:45
216,Lavrentiya,65.5833,-171.0,-10.59,86,70,4.14,RU,2021-04-01 10:56:46
217,Kangaatsiaq,68.3065,-53.4641,22.78,83,100,11.48,GL,2021-04-01 10:56:46
218,Cape Town,-33.9258,18.4232,72.0,49,0,16.11,ZA,2021-04-01 10:53:32
219,Along,28.1667,94.7667,61.93,96,100,4.56,IN,2021-04-01 10:56:46
220,Upernavik,72.7868,-56.1549,14.85,63,100,10.85,GL,2021-04-01 10:56:47
221,Gimli,50.6336,-96.9907,21.2,63,12,12.66,CA,2021-04-01 10:56:47
222,Dedovichi,57.5517,29.9502,43.36,55,100,8.81,RU,2021-04-01 10:56:47
223,Padang,-0.9492,100.3543,84.2,74,40,4.61,ID,2021-04-01 10:54:08
224,Chuy,-33.6971,-53.4616,64.83,68,70,6.11,UY,2021-04-01 10:56:48
225,Warrnambool,-38.3833,142.4833,61.0,75,68,3.96,AU,2021-04-01 10:56:48
226,Zhigansk,66.7697,123.3711,0.52,94,89,4.18,RU,2021-04-01 10:56:49
227,George Town,5.4112,100.3354,89.6,66,20,8.05,MY,2021-04-01 10:55:03
228,Broken Hill,-31.95,141.4333,73.4,31,0,9.22,AU,2021-04-01 10:56:49
229,Hamilton,39.1834,-84.5333,33.01,59,1,11.5,US,2021-04-01 10:53:46
230,Den Helder,52.9599,4.7593,48.2,71,18,16.11,NL,2021-04-01 10:56:50
231,Tyup,42.7276,78.3648,41.14,48,24,3.02,KG,2021-04-01 10:56:50
232,Tibacuy,4.3511,-72.4564,74.57,88,99,3.29,CO,2021-04-01 10:56:50
233,Kahului,20.8947,-156.47,71.6,100,40,11.5,US,2021-04-01 10:52:46
234,Klaksvik,62.2266,-6.589,44.6,81,75,20.71,FO,2021-04-01 10:56:51
235,Hasaki,35.7333,140.8333,55.4,76,75,5.75,JP,2021-04-01 10:56:51
236,Bon Air,37.5249,-77.5578,44.01,94,100,8.5,US,2021-04-01 10:56:51
237,College,64.8569,-147.8028,10.99,72,90,9.22,US,2021-04-01 10:56:52
238,Namibe,-15.1961,12.1522,82.4,69,40,7.38,AO,2021-04-01 10:56:52
239,Chokurdakh,70.6333,147.9167,-5.96,93,98,5.99,RU,2021-04-01 10:56:52
240,Sorland,67.667,12.6934,39.2,87,75,20.71,NO,2021-04-01 10:56:53
241,Sitka,57.0531,-135.33,33.8,86,90,12.66,US,2021-04-01 10:56:53
242,Guanambi,-14.2233,-42.7814,80.65,50,49,2.73,BR,2021-04-01 10:56:53
243,Mikhaylovskoye,51.8239,79.7172,31.08,69,8,1.79,RU,2021-04-01 10:56:53
244,Sharjah,25.3573,55.4033,91.4,33,0,11.5,AE,2021-04-01 10:55:10
245,Sola,-13.8833,167.55,82.18,77,77,8.16,VU,2021-04-01 10:56:54
246,Kaitangata,-46.2817,169.8464,54.0,61,100,8.01,NZ,2021-04-01 10:56:54
247,San Patricio,28.017,-97.5169,61.0,44,90,20.71,US,2021-04-01 10:56:54
248,Grindavik,63.8424,-22.4338,41.0,87,90,17.27,IS,2021-04-01 10:56:55
249,Scottsbluff,41.8666,-103.6672,33.01,63,1,6.91,US,2021-04-01 10:54:08
250,Geraldton,-28.7667,114.6,78.8,65,1,11.5,AU,2021-04-01 10:56:55
251,Lahaina,20.8783,-156.6825,71.6,100,40,11.5,US,2021-04-01 10:56:56
252,Khor,47.8861,134.9464,39.31,69,27,8.39,RU,2021-04-01 10:56:56
253,Vardo,70.3705,31.1107,35.6,80,75,8.05,NO,2021-04-01 10:56:56
254,Vila Velha,-20.3297,-40.2925,71.6,94,0,4.61,BR,2021-04-01 10:55:22
255,Chifeng,42.2683,118.9636,56.28,33,100,5.61,CN,2021-04-01 10:56:57
256,Matara,5.9485,80.5353,85.95,67,23,13.06,LK,2021-04-01 10:54:51
257,Jamkhed,18.7362,75.3121,99.79,7,6,12.88,IN,2021-04-01 10:56:57
258,Acarau,-2.8856,-40.12,79.59,85,91,11.25,BR,2021-04-01 10:56:57
259,Inirida,3.8653,-67.9239,71.92,97,100,1.07,CO,2021-04-01 10:56:58
260,Lincoln,40.8,-96.667,27.0,73,1,5.75,US,2021-04-01 10:53:06
261,Buala,-8.145,159.5921,80.35,81,99,5.12,SB,2021-04-01 10:56:58
262,Sao Filipe,14.8961,-24.4956,73.42,68,12,8.3,CV,2021-04-01 10:56:58
263,Guerrero Negro,27.9769,-114.0611,61.09,62,6,5.23,MX,2021-04-01 10:56:59
264,Eydhafushi,5.1033,73.0708,85.1,70,100,13.04,MV,2021-04-01 10:56:59
265,Longyearbyen,78.2186,15.6401,32.0,64,75,10.36,SJ,2021-04-01 10:56:59
266,Vila Franca Do Campo,37.7167,-25.4333,60.8,77,20,8.05,PT,2021-04-01 10:57:00
267,Bela,25.9333,81.9833,99.79,2,0,16.96,IN,2021-04-01 10:57:00
268,Ponta Do Sol,32.6667,-17.1,66.2,63,20,4.61,PT,2021-04-01 10:57:00
269,Bilma,18.6853,12.9164,86.09,6,0,13.11,NE,2021-04-01 10:57:00
270,Thompson,55.7435,-97.8558,19.4,73,40,3.44,CA,2021-04-01 10:57:01
271,Kushiro,42.975,144.3747,39.2,75,75,3.44,JP,2021-04-01 10:57:01
272,Puerto Del Rosario,28.5004,-13.8627,69.8,68,20,8.05,ES,2021-04-01 10:57:01
273,Gravelbourg,49.8834,-106.5512,33.8,55,44,8.05,CA,2021-04-01 10:57:02
274,Olafsvik,64.8945,-23.7142,40.66,88,100,19.48,IS,2021-04-01 10:57:02
275,Bathsheba,13.2167,-59.5167,77.0,73,40,14.97,BB,2021-04-01 10:57:02
276,Sistranda,63.7256,8.834,39.2,87,75,28.77,NO,2021-04-01 10:57:03
